Date,Precipitation,Intake,Discharge
20170101,0.00,8213 ,2331 
20170102,0.01,7874 ,2330 
20170103,0.00,8178 ,2756 
20170104,0.00,7696 ,3378 
20170105,0.29,7704 ,2986 
20170106,0.87,7933 ,3719 
20170107,0.10,7698 ,2990 
20170108,0.35,6996 ,2991 
20170109,0.16,7458 ,2990 
20170110,0.08,7307 ,3563 
20170111,0.00,7295 ,3042 
20170112,0.00,7699 ,2206 
20170113,0.23,7669 ,2206 
20170114,3.81,7702 ,2747 
20170115,0.00,7555 ,3286 
20170116,0.00,7474 ,3289 
20170117,0.00,8604 ,2932 
20170118,0.00,8835 ,2519 
20170119,0.00,8881 ,2633 
20170120,2.31,7692 ,3064 
20170121,0.85,8340 ,3215 
20170122,2.20,8169 ,3205 
20170123,4.91,7777 ,3216 
20170124,0.00,9184 ,3307 
20170125,0.00,9605 ,2980 
20170126,0.00,9352 ,2447 
20170127,0.58,9738 ,2951 
20170128,0.00,10071 ,2955 
20170129,2.46,9109 ,2945 
20170130,0.50,8230 ,2941 
20170131,0.00,8319 ,2943 
20170201,0.00,8513 ,2430 
20170202,0.00,8091 ,2354 
20170203,0.00,8246 ,2163 
20170204,0.26,8246 ,2718 
20170205,0.98,7808 ,3176 
20170206,0.00,8008 ,3177 
20170207,0.00,7958 ,3073 
20170208,0.38,8066 ,3040 
20170209,0.50,7910 ,2992 
20170210,5.08,8166 ,3369 
20170211,0.67,7872 ,3240 
20170212,0.00,8184 ,3241 
20170213,0.00,8090 ,3242 
20170214,0.00,8024 ,3291 
20170215,0.00,7590 ,2584 
20170216,2.82,8071 ,2724 
20170217,0.44,7441 ,3423 
20170218,0.00,7502 ,3176 
20170219,0.09,6896 ,3175 
20170220,9.56,7051 ,3177 
20170221,0.00,7299 ,3088 
20170222,14.09,7256 ,3893 
20170223,0.00,7219 ,3954 
20170224,0.00,7320 ,4841 
20170225,0.00,7491 ,3994 
20170226,0.00,7365 ,3570 
20170227,0.00,7128 ,3572 
20170228,0.00,7483 ,3526 
20170301,0.65,7017 ,3990 
20170302,2.30,7287 ,3991 
20170303,0.00,7364 ,3122 
20170304,0.00,7560 ,3475 
20170305,0.00,7023 ,3474 
20170306,0.00,7165 ,3477 
20170307,1.44,7081 ,2985 
20170308,0.43,6969 ,3547 
20170309,0.00,7765 ,3094 
20170310,0.00,7530 ,3257 
20170311,0.00,7502 ,3314 
20170312,0.00,7407 ,3315 
20170313,0.00,7721 ,3316 
20170314,0.00,7180 ,2852 
20170315,0.00,7288 ,3524 
20170316,0.00,7324 ,2987 
20170317,0.00,7799 ,3154 
20170318,0.00,7863 ,3148 
20170319,0.00,7670 ,3185 
20170320,7.74,7142 ,3188 
20170321,0.48,6993 ,3752 
20170322,0.00,7417 ,3622 
20170323,0.00,7311 ,3538 
20170324,0.00,7125 ,3300 
20170325,2.51,7221 ,3610 
20170326,0.00,6880 ,3611 
20170327,1.19,6936 ,3612 
20170328,0.80,7020 ,3962 
20170329,1.14,7180 ,3937 
20170330,0.00,7078 ,3318 
20170331,1.56,7236 ,3606 
20170401,0.00,7120 ,3256 
20170402,0.00,7906 ,3255 
20170403,0.00,7492 ,3256 
20170404,0.00,7316 ,3602 
20170405,17.94,7486 ,3541 
20170406,3.17,7202 ,4045 
20170407,0.00,7567 ,4894 
20170408,0.00,8113 ,4142 
20170409,0.00,7500 ,4143 
20170410,0.00,7702 ,4142 
20170411,11.02,7144 ,4320 
20170412,0.00,7695 ,4739 
20170413,0.00,7599 ,4069 
20170414,1.39,7505 ,3558 
20170415,0.87,8001 ,3631 
20170416,0.00,7663 ,3630 
20170417,9.54,6854 ,3632 
20170418,0.41,7649 ,3744 
20170419,0.00,7821 ,4167 
20170420,0.65,7548 ,3347 
20170421,0.00,7795 ,3598 
20170422,0.00,7481 ,3402 
20170423,0.00,7655 ,3400 
20170424,0.00,7982 ,3403 
20170425,0.74,7728 ,3271 
20170426,0.28,8021 ,3806 
20170427,0.00,8305 ,3195 
20170428,0.00,8772 ,3276 
20170429,0.00,8727 ,3706 
20170430,0.00,9214 ,3707 
20170501,0.00,9440 ,3708 
20170502,0.00,9709 ,3985 
20170503,0.00,9134 ,3505 
20170504,0.72,9378 ,3506 
20170505,12.80,8795 ,4148 
20170506,0.00,8885 ,4144 
20170507,0.00,9099 ,4148 
20170508,0.00,8267 ,4146 
20170509,10.49,7729 ,4532 
20170510,0.97,7696 ,4532 
20170511,0.82,7865 ,4645 
20170512,0.03,8376 ,4616 
20170513,0.00,8465 ,4504 
20170514,0.00,8597 ,4503 
20170515,0.00,9067 ,4504 
20170516,0.00,9255 ,4239 
20170517,0.00,9854 ,4768 
20170518,0.00,9385 ,4808 
20170519,0.00,9583 ,4760 
20170520,0.00,10248 ,4614 
20170521,0.00,9586 ,4615 
20170522,0.00,9510 ,4617 
20170523,0.00,9003 ,4767 
20170524,1.71,8913 ,4649 
20170525,0.00,9439 ,4435 
20170526,0.00,9194 ,4651 
20170527,0.00,9025 ,4743 
20170528,0.00,9142 ,4744 
20170529,0.00,8579 ,4746 
20170530,0.00,9248 ,4759 
20170531,4.61,8747 ,4593 
20170601,0.00,8989 ,4369 
20170602,0.00,9156 ,4886 
20170603,0.18,9378 ,4560 
20170604,0.00,8605 ,4561 
20170605,0.00,8942 ,4562 
20170606,6.28,7738 ,4328 
20170607,2.36,7894 ,4228 
20170608,0.00,8316 ,4605 
20170609,0.08,7393 ,4501 
20170610,0.00,7948 ,4674 
20170611,0.46,8303 ,4675 
20170612,0.00,7778 ,4675 
20170613,0.00,9184 ,3935 
20170614,0.00,9240 ,4762 
20170615,0.00,9460 ,4851 
20170616,0.00,9699 ,4631 
20170617,0.00,9716 ,4011 
20170618,0.00,9898 ,4010 
20170619,0.00,9415 ,4012 
20170620,1.48,9078 ,4889 
20170621,0.00,9116 ,4296 
20170622,0.00,9079 ,5179 
20170623,0.02,9689 ,4430 
20170624,0.33,9759 ,4590 
20170625,0.00,8398 ,4591 
20170626,11.08,8513 ,4590 
20170627,7.41,8607 ,4305 
20170628,0.21,8009 ,4755 
20170629,0.35,7767 ,4560 
20170630,0.22,8422 ,4705 
20170701,0.55,7843 ,4463 
